"","OBJECTID","POSTCODE","NAME","Positive","Death","Recovered","Active","Rate","Rate_Draft","Positive_Draft","Death_Draft","ZIPType","Shape__Area","Shape__Length"
"136",136,"29682","Six Mile",3,NA,NA,NA,NA,NA,3,NA,"Standard",86202488.4165039,67321.9200070126
"137",137,"29684","Starr",5,NA,NA,NA,NA,NA,5,NA,"Standard",137893087.195068,95549.2717952372
"138",138,"29685","Sunset",0,NA,NA,NA,NA,NA,0,NA,"Standard",235166399.57605,117892.02036458
"139",139,"29686","Tamassee",0,NA,NA,NA,NA,NA,0,NA,"Standard",50746400.9970703,61184.7672874984
"140",140,"29688","Tigerville",0,NA,NA,NA,NA,NA,0,NA,"Standard",4920017.86914063,10882.1072582094
"141",141,"29690","Travelers Rest",21,NA,NA,NA,NA,NA,24,NA,"Standard",279116069.518188,146684.809300564
"142",142,"29691","Walhalla",3,NA,NA,NA,NA,NA,3,NA,"Standard",168448910.091064,117404.02329815
"143",143,"29693","Westminster",9,NA,NA,NA,NA,NA,9,NA,"Standard",456648928.773682,181112.595907906
"144",144,"29696","West Union",1,NA,NA,NA,NA,NA,1,NA,"Standard",60000362.9434814,69693.5410802724
"145",145,"29710","Clover",38,NA,NA,NA,NA,NA,39,NA,"Standard",296354535.868774,175904.078707739
"146",146,"29708","Fort Mill",28,NA,NA,NA,NA,NA,28,NA,"Standard",52500483.5585938,42260.9395466786
"147",147,"29714","Fort Lawn",7,NA,NA,NA,NA,NA,7,NA,"Standard",91492057.8922119,59666.5416192309
"148",148,"29717","Hickory Grove",2,NA,NA,NA,NA,NA,2,NA,"Standard",90641139.4641113,63294.5476444382
"149",149,"29726","Mc Connells",0,NA,NA,NA,NA,NA,0,NA,"Standard",93240075.0197754,53782.0071931984
"150",150,"29727","Mount Croghan",0,NA,NA,NA,NA,NA,0,NA,"Standard",140732099.404541,92342.8817030346
"151",151,"29728","Pageland",15,NA,NA,NA,NA,NA,15,NA,"Standard",254655095.086304,112182.281822428
"152",152,"29729","Richburg",6,NA,NA,NA,NA,NA,6,NA,"Standard",182404168.988159,83061.5543486801
"153",153,"29732","Rock Hill",95,NA,NA,NA,NA,NA,96,NA,"Standard",143010711.086182,66833.6653555434
"154",154,"29741","Ruby",4,NA,NA,NA,NA,NA,4,NA,"Standard",89575104.3808594,57685.470847396
"155",155,"29745","York",17,NA,NA,NA,NA,NA,17,NA,"Standard",373162676.462524,214663.740571152
"156",156,"29801","Aiken",24,NA,NA,NA,NA,NA,24,NA,"Standard",251900912.163208,129454.140177048
"157",157,"29803","Aiken",30,NA,NA,NA,NA,NA,30,NA,"Standard",333914634.322021,134022.811131394
"158",158,"29805","Aiken",2,NA,NA,NA,NA,NA,2,NA,"Standard",257816272.563721,121606.381961366
"159",159,"29809","New Ellenton",1,NA,NA,NA,NA,NA,1,NA,"Standard",13639718.3696289,21085.8101370669
"160",160,"29810","Allendale",13,NA,NA,NA,NA,NA,14,NA,"Standard",288305287.010986,124266.474283505
"161",161,"29851","Warrenville",4,NA,NA,NA,NA,NA,5,NA,"Standard",57246983.1898193,44508.0509543965
"162",162,"29842","Beech Island",5,NA,NA,NA,NA,NA,5,NA,"Standard",114848233.307739,75292.9993140915
"163",163,"29828","Gloverville",0,NA,NA,NA,NA,NA,0,NA,"Standard",1565530.41369629,6200.2269744303
"164",164,"29829","Graniteville",9,NA,NA,NA,NA,NA,9,NA,"Standard",97830862.5063477,65565.9537374253
"165",165,"29831","Jackson",4,NA,NA,NA,NA,NA,4,NA,"Standard",219003899.576782,120043.478121778
"166",166,"29840","Mount Carmel",0,NA,NA,NA,NA,NA,0,NA,"Standard",88267963.0610352,55367.9836028273
"167",167,"29003","Bamberg",6,NA,NA,NA,NA,NA,6,NA,"Standard",370696525.128906,120697.787773101
"168",168,"29856","Windsor",2,NA,NA,NA,NA,NA,2,NA,"Standard",141904310.487671,88190.9342789059
"169",169,"29902","Beaufort",91,NA,NA,NA,NA,NA,91,NA,"Standard",85986523.5100098,72778.4669077688
"170",170,"29906","Beaufort",47,NA,NA,NA,NA,NA,48,NA,"Standard",195516778.198853,97718.0826836947
"171",171,"29907","Beaufort",24,NA,NA,NA,NA,NA,24,NA,"Standard",128320339.838867,100817.554620683
"172",172,"29073","Lexington",63,NA,NA,NA,NA,NA,65,NA,"Standard",212466691.372803,120695.719192339
"173",173,"29123","Pelion",6,NA,NA,NA,NA,NA,6,NA,"Standard",164574703.296021,75176.8630088198
"174",174,"29910","Bluffton",49,NA,NA,NA,NA,NA,49,NA,"Standard",322889195.078613,166470.009946279
"175",175,"29911","Brunson",2,NA,NA,NA,NA,NA,2,NA,"Standard",180668899.651733,95876.4390648815
"176",176,"29924","Hampton",10,NA,NA,NA,NA,NA,10,NA,"Standard",139451329.543701,100363.948333666
"177",177,"29915","Daufuskie Island",1,NA,NA,NA,NA,NA,1,NA,"Standard",27944236.6738281,31284.2213845265
"178",178,"29918","Estill",9,NA,NA,NA,NA,NA,9,NA,"Standard",446286255.498413,182201.830222094
"179",179,"29920","Saint Helena Island",15,NA,NA,NA,NA,NA,15,NA,"Standard",305379066.20166,354598.102584471
"180",180,"29926","Hilton Head Island",19,NA,NA,NA,NA,NA,19,NA,"Standard",94053478.0001221,55596.9111805479
"181",181,"29927","Hardeeville",7,NA,NA,NA,NA,NA,7,NA,"Standard",607655821.861206,185886.236118582
"182",182,"29928","Hilton Head Island",12,NA,NA,NA,NA,NA,12,NA,"Standard",55943029.8914795,51492.8929668409
"183",183,"29929","Islandton",4,NA,NA,NA,NA,NA,4,NA,"Standard",189912234.474976,74364.6594111246
"184",184,"29940","Seabrook",2,NA,NA,NA,NA,NA,2,NA,"Standard",182793889.425903,97266.0090861819
"185",185,"29935","Port Royal",10,NA,NA,NA,NA,NA,10,NA,"Standard",4792168.06225586,17263.6099650588
"186",186,"29941","Sheldon",1,NA,NA,NA,NA,NA,1,NA,"Standard",31456284.3753662,35333.4352906602
"187",187,"29943","Tillman",1,NA,NA,NA,NA,NA,1,NA,"Standard",140224625,107149.003429987
"188",188,"29061","Hopkins",35,NA,NA,NA,NA,NA,35,NA,"Standard",343425306.317993,183862.827476427
"189",189,"29042","Denmark",9,NA,NA,NA,NA,NA,10,NA,"Standard",152955029.60791,79171.806998473
"190",190,"29133","Rowesville",1,NA,NA,NA,NA,NA,1,NA,"Standard",124714870.971802,77401.7085172406
"191",191,"29108","Newberry",12,NA,NA,NA,NA,NA,12,NA,"Standard",499677968.052246,167761.907559022
"192",192,"29634","Clemson",0,NA,NA,NA,NA,NA,0,NA,"Standard",4861100.91308594,10199.0638829754
"193",193,"29145","Silverstreet",1,NA,NA,NA,NA,NA,1,NA,"Standard",132440373.135254,91645.42476447
"194",194,"29048","Eutawville",10,NA,NA,NA,NA,NA,10,NA,"Standard",121258958.042847,156362.625742026
"195",195,"29072","Lexington",91,NA,NA,NA,NA,NA,91,NA,"Standard",176274828.45166,153831.964736338
"196",196,"29015","Blair",3,NA,NA,NA,NA,NA,3,NA,"Standard",315065979.495972,111333.588828871
"197",197,"29054","Gilbert",10,NA,NA,NA,NA,NA,11,NA,"Standard",159586849.24353,153120.580222912
"198",198,"29142","Santee",8,NA,NA,NA,NA,NA,8,NA,"Standard",144171361.418823,96590.3732246082
"199",199,"29065","Jenkinsville",1,NA,NA,NA,NA,NA,1,NA,"Standard",96572017.3968506,78870.4184111336
"200",200,"29046","Elliott",0,NA,NA,NA,NA,NA,0,NA,"Standard",6232518.8651123,15600.2259983711
"201",201,"29033","Cayce",11,NA,NA,NA,NA,NA,11,NA,"Standard",24440725.5548096,29245.7377220479
"202",202,"29038","Cope",4,NA,NA,NA,NA,NA,4,NA,"Standard",208044981.797485,103775.637127188
"203",203,"29039","Cordova",5,NA,NA,NA,NA,NA,5,NA,"Standard",65095953.2163086,58850.6864735922
"204",204,"29115","Orangeburg",25,NA,NA,NA,NA,NA,25,NA,"Standard",309352463.134033,165621.145442172
"205",205,"29044","Eastover",14,NA,NA,NA,NA,NA,15,NA,"Standard",391640143.136353,197448.57712327
"206",206,"29052","Gadsden",5,NA,NA,NA,NA,NA,6,NA,"Standard",54463265.7602539,42541.8506161004
"207",207,"29107","Neeses",4,NA,NA,NA,NA,NA,4,NA,"Standard",196002363.461304,137410.702491906
"208",208,"29113","Norway",0,NA,NA,NA,NA,NA,0,NA,"Standard",120174316.099365,79036.0896768933
"209",209,"29126","Pomaria",1,NA,NA,NA,NA,NA,1,NA,"Standard",207275812.539795,82107.3013646152
"210",210,"29148","Summerton",67,NA,NA,NA,NA,NA,67,NA,"Standard",259645199.717285,260643.267694411
"211",211,"29117","Orangeburg",0,NA,NA,NA,NA,NA,0,NA,"Standard",575843.603393555,3608.57513572117
"212",212,"29912","Coosawhatchie",1,NA,NA,NA,NA,NA,1,NA,"Standard",5826181.77429199,11267.5861668022
"213",213,"29683","Slater",0,NA,NA,NA,NA,NA,0,NA,"Standard",437555.928466797,3548.54418214553
"214",214,"29212","Columbia",42,NA,NA,NA,NA,NA,43,NA,"Standard",57128330.6846924,95296.5241560301
"215",215,"29014","Blackstock",2,NA,NA,NA,NA,NA,2,NA,"Standard",359968147.253174,140883.195784292
"216",216,"29210","Columbia",119,NA,NA,NA,NA,NA,121,NA,"Standard",41912929.0402832,32544.0409820459
"217",217,"29180","Winnsboro",27,NA,NA,NA,NA,NA,27,NA,"Standard",818970626.187256,252472.522504143
"218",218,"29332","Cross Hill",1,NA,NA,NA,NA,NA,1,NA,"Standard",99694638.282959,84660.5410812633
"219",219,"29374","Pauline",5,NA,NA,NA,NA,NA,5,NA,"Standard",128108235.610107,77602.2182217455
"220",220,"29355","Kinards",1,NA,NA,NA,NA,NA,1,NA,"Standard",175049867.545654,106915.048173977
"221",221,"29330","Cowpens",4,NA,NA,NA,NA,NA,4,NA,"Standard",98810985.3820801,71986.2690263628
"222",222,"29335","Enoree",4,NA,NA,NA,NA,NA,4,NA,"Standard",244381508.87561,111211.593134863
"223",223,"29356","Landrum",7,NA,NA,NA,NA,NA,7,NA,"Standard",214612330.155273,111692.985689943
"224",224,"29323","Chesnee",19,NA,NA,NA,NA,NA,19,NA,"Standard",194512338.126709,105505.786247576
"225",225,"29307","Spartanburg",15,NA,NA,NA,NA,NA,15,NA,"Standard",115842209.148682,75517.3660985674
"226",226,"29322","Campobello",6,NA,NA,NA,NA,NA,6,NA,"Standard",157053398.455078,102861.54563754
"227",227,"29372","Pacolet",9,NA,NA,NA,NA,NA,9,NA,"Standard",115668214.500854,78119.3693093234
"228",228,"29388","Woodruff",16,NA,NA,NA,NA,NA,16,NA,"Standard",253578126.445923,126492.548885
"229",229,"29692","Ware Shoals",7,NA,NA,NA,NA,NA,7,NA,"Standard",126209231.705811,77461.7517313986
"230",230,"29651","Greer",94,NA,NA,NA,NA,NA,94,NA,"Standard",243685972.16394,149389.504310943
