"","Report.Date","ZIP.Code","Number.of.Cases","Number.of.PCR.Testing.Encounters"
"450","5/18/2020","23435","100",593
"451","5/18/2020","23436","0",16
"452","5/18/2020","23437","6",75
"453","5/18/2020","23438","Suppressed*",49
"454","5/18/2020","23440","0",2
"455","5/18/2020","23441","18",40
"456","5/18/2020","23442","19",57
"457","5/18/2020","23451","44",871
"458","5/18/2020","23452","80",1321
"459","5/18/2020","23453","51",713
"460","5/18/2020","23454","85",1211
"461","5/18/2020","23455","38",951
"462","5/18/2020","23456","57",1079
"463","5/18/2020","23457","5",70
"464","5/18/2020","23459","Suppressed*",27
"465","5/18/2020","23460","0",8
"466","5/18/2020","23461","0",7
"467","5/18/2020","23462","116",1417
"468","5/18/2020","23464","80",1317
"469","5/18/2020","23480","Suppressed*",11
"470","5/18/2020","23486","0",4
"471","5/18/2020","23487","59",142
"472","5/18/2020","23488","8",18
"473","5/18/2020","23502","40",517
"474","5/18/2020","23503","38",553
"475","5/18/2020","23504","52",866
"476","5/18/2020","23505","33",491
"477","5/18/2020","23507","8",143
"478","5/18/2020","23508","23",255
"479","5/18/2020","23509","29",266
"480","5/18/2020","23510","47",422
"481","5/18/2020","23511","0",34
"482","5/18/2020","23513","32",605
"483","5/18/2020","23517","5",88
"484","5/18/2020","23518","39",637
"485","5/18/2020","23523","9",145
"486","5/18/2020","23551","0",1
"487","5/18/2020","23601","23",521
"488","5/18/2020","23602","43",642
"489","5/18/2020","23603","Suppressed*",47
"490","5/18/2020","23604","0",23
"491","5/18/2020","23605","13",235
"492","5/18/2020","23606","31",441
"493","5/18/2020","23607","23",321
"494","5/18/2020","23608","67",673
"495","5/18/2020","23651","Suppressed*",7
"496","5/18/2020","23661","15",214
"497","5/18/2020","23662","7",169
"498","5/18/2020","23663","11",202
"499","5/18/2020","23664","7",142
"500","5/18/2020","23665","Suppressed*",31
"501","5/18/2020","23666","68",845
"502","5/18/2020","23669","55",624
"503","5/18/2020","23690","0",51
