"","Report.Date","ZIP.Code","Number.of.Cases","Number.of.Testing.Encounters"
"356","5/17/2020","23141","9","132"
"357","5/17/2020","23146","6","45"
"358","5/17/2020","23148","Suppressed*","23"
"359","5/17/2020","23149","5","63"
"360","5/17/2020","23150","42","267"
"361","5/17/2020","23153","Suppressed*","31"
"362","5/17/2020","23156","Suppressed*","24"
"363","5/17/2020","23160","0","9"
"364","5/17/2020","23161","0","1"
"365","5/17/2020","23163","0","1"
"366","5/17/2020","23168","8","217"
"367","5/17/2020","23169","0","12"
"368","5/17/2020","23173","0","1"
"369","5/17/2020","23175","Suppressed*","21"
"370","5/17/2020","23176","0","3"
"371","5/17/2020","23177","0","12"
"372","5/17/2020","23180","0","2"
"373","5/17/2020","23181","Suppressed*","124"
"374","5/17/2020","23185","129","1,405"
"375","5/17/2020","23187","0","14"
"376","5/17/2020","23188","124","1,409"
"377","5/17/2020","23192","10","101"
"378","5/17/2020","23219","13","105"
"379","5/17/2020","23220","58","538"
"380","5/17/2020","23221","17","268"
"381","5/17/2020","23222","74","525"
"382","5/17/2020","23223","206","1,256"
"383","5/17/2020","23224","297","1,164"
"384","5/17/2020","23225","172","1,174"
"385","5/17/2020","23226","85","455"
"386","5/17/2020","23227","63","573"
"387","5/17/2020","23228","104","808"
"388","5/17/2020","23229","77","739"
"389","5/17/2020","23230","10","161"
"390","5/17/2020","23231","104","750"
"391","5/17/2020","23233","105","716"
"392","5/17/2020","23234","269","1,124"
"393","5/17/2020","23235","94","905"
"394","5/17/2020","23236","56","701"
"395","5/17/2020","23237","88","538"
"396","5/17/2020","23238","220","733"
"397","5/17/2020","23250","0","2"
"398","5/17/2020","23294","49","346"
"399","5/17/2020","23301","58","116"
"400","5/17/2020","23302","Suppressed*","6"
"401","5/17/2020","23303","13","37"
"402","5/17/2020","23304","Suppressed*","6"
"403","5/17/2020","23306","21","63"
"404","5/17/2020","23307","12","38"
"405","5/17/2020","23308","35","84"
"406","5/17/2020","23310","18","94"
"407","5/17/2020","23313","Suppressed*","4"
"408","5/17/2020","23314","9","173"
"409","5/17/2020","23315","Suppressed*","24"
"410","5/17/2020","23316","11","37"
"411","5/17/2020","23320","134","1,497"
"412","5/17/2020","23321","46","666"
"413","5/17/2020","23322","73","911"
"414","5/17/2020","23323","55","632"
"415","5/17/2020","23324","37","413"
"416","5/17/2020","23325","37","347"
"417","5/17/2020","23336","8","53"
"418","5/17/2020","23337","0","8"
"419","5/17/2020","23347","14","32"
"420","5/17/2020","23350","52","149"
"421","5/17/2020","23354","9","18"
"422","5/17/2020","23356","Suppressed*","28"
"423","5/17/2020","23357","31","52"
"424","5/17/2020","23359","11","21"
"425","5/17/2020","23389","Suppressed*","4"
"426","5/17/2020","23395","14","32"
"427","5/17/2020","23398","Suppressed*","8"
"428","5/17/2020","23401","Suppressed*","12"
"429","5/17/2020","23405","10","29"
"430","5/17/2020","23407","42","65"
"431","5/17/2020","23408","Suppressed*","4"
"432","5/17/2020","23409","Suppressed*","4"
"433","5/17/2020","23410","46","119"
"434","5/17/2020","23413","69","206"
"435","5/17/2020","23414","22","39"
"436","5/17/2020","23415","32","90"
"437","5/17/2020","23416","11","33"
"438","5/17/2020","23417","46","140"
"439","5/17/2020","23418","42","87"
"440","5/17/2020","23420","62","137"
"441","5/17/2020","23421","114","372"
"442","5/17/2020","23422","Suppressed*","16"
"443","5/17/2020","23423","Suppressed*","8"
"444","5/17/2020","23426","5","6"
"445","5/17/2020","23427","5","9"
"446","5/17/2020","23430","28","323"
"447","5/17/2020","23432","5","24"
"448","5/17/2020","23433","0","31"
"449","5/17/2020","23434","151","1,269"
"450","5/17/2020","23435","99","644"
"451","5/17/2020","23436","0","19"
"452","5/17/2020","23437","6","77"
"453","5/17/2020","23438","Suppressed*","49"
"454","5/17/2020","23440","0","2"
"455","5/17/2020","23441","18","39"
"456","5/17/2020","23442","19","56"
"457","5/17/2020","23451","43","999"
"458","5/17/2020","23452","78","1,413"
"459","5/17/2020","23453","51","725"
"460","5/17/2020","23454","82","1,349"
"461","5/17/2020","23455","38","1,036"
"462","5/17/2020","23456","57","1,180"
"463","5/17/2020","23457","5","77"
"464","5/17/2020","23459","Suppressed*","20"
"465","5/17/2020","23460","0","7"
"466","5/17/2020","23461","0","7"
"467","5/17/2020","23462","114","1,474"
"468","5/17/2020","23464","78","1,382"
"469","5/17/2020","23480","Suppressed*","11"
"470","5/17/2020","23486","0","4"
"471","5/17/2020","23487","58","145"
"472","5/17/2020","23488","8","18"
"473","5/17/2020","23502","39","527"
"474","5/17/2020","23503","36","587"
"475","5/17/2020","23504","51","882"
"476","5/17/2020","23505","33","516"
"477","5/17/2020","23507","8","158"
"478","5/17/2020","23508","23","279"
"479","5/17/2020","23509","29","282"
"480","5/17/2020","23510","47","429"
"481","5/17/2020","23511","0","28"
"482","5/17/2020","23513","29","600"
"483","5/17/2020","23517","5","95"
"484","5/17/2020","23518","37","725"
"485","5/17/2020","23523","8","145"
"486","5/17/2020","23551","0","1"
"487","5/17/2020","23601","22","533"
"488","5/17/2020","23602","42","697"
"489","5/17/2020","23603","Suppressed*","49"
"490","5/17/2020","23604","0","25"
"491","5/17/2020","23605","13","237"
"492","5/17/2020","23606","29","476"
"493","5/17/2020","23607","21","313"
"494","5/17/2020","23608","60","718"
"495","5/17/2020","23651","Suppressed*","7"
"496","5/17/2020","23661","15","218"
"497","5/17/2020","23662","7","201"
"498","5/17/2020","23663","10","203"
"499","5/17/2020","23664","7","150"
"500","5/17/2020","23665","Suppressed*","31"
"501","5/17/2020","23666","68","859"
"502","5/17/2020","23669","54","649"
"503","5/17/2020","23690","0","52"
"504","5/17/2020","23691","0","5"
"505","5/17/2020","23692","12","343"
"506","5/17/2020","23693","12","330"
"507","5/17/2020","23696","0","62"
"508","5/17/2020","23701","107","670"
"509","5/17/2020","23702","14","198"
"510","5/17/2020","23703","48","511"
"511","5/17/2020","23704","31","436"
"512","5/17/2020","23707","22","276"
"513","5/17/2020","23708","Suppressed*","70"
"514","5/17/2020","23709","0","61"
"515","5/17/2020","23801","10","95"
"516","5/17/2020","23803","74","751"
"517","5/17/2020","23805","26","365"
"518","5/17/2020","23821","Suppressed*","33"
"519","5/17/2020","23824","9","166"
"520","5/17/2020","23827","Suppressed*","18"
"521","5/17/2020","23828","0","5"
"522","5/17/2020","23829","78","460"
"523","5/17/2020","23830","Suppressed*","29"
"524","5/17/2020","23831","68","599"
"525","5/17/2020","23832","146","876"
"526","5/17/2020","23833","Suppressed*","29"
"527","5/17/2020","23834","99","545"
