"","OBJECTID","PO_NAME","ZIP_CODE","Negative","Positive","Probable","Additional_Tracking","Positive_Redacted","Negative_Redacted"
"369",697,"West Decatur","16878",15,-1,0,NA,NA,NA
"370",698,"Winburne","16879",-1,0,0,NA,NA,NA
"371",699,"Woodland","16881",13,0,0,NA,NA,NA
"372",700,"Woodward","16882",-1,0,0,NA,NA,NA
"373",701,"Wellsboro","16901",74,-1,0,NA,NA,NA
"374",702,"Blossburg","16912",17,0,0,NA,NA,NA
"375",703,"Columbia Cross Roads","16914",24,-1,0,NA,NA,NA
"376",704,"Coudersport","16915",25,-1,0,NA,NA,NA
"377",705,"Covington","16917",8,-1,0,NA,NA,NA
"378",706,"Elkland","16920",12,-1,0,NA,NA,NA
"379",707,"Gaines","16921",-1,0,0,NA,NA,NA
"380",708,"Galeton","16922",12,0,0,NA,NA,NA
"381",709,"Genesee","16923",-1,0,0,NA,NA,NA
"382",710,"Gillett","16925",28,-1,0,NA,NA,NA
"383",711,"Granville Summit","16926",-1,0,0,NA,NA,NA
"384",712,"Harrison Valley","16927",0,0,0,NA,NA,NA
"385",713,"Knoxville","16928",-1,0,0,NA,NA,NA
"386",714,"Lawrenceville","16929",12,-1,0,NA,NA,NA
"387",715,"Liberty","16930",-1,-1,0,NA,NA,NA
"388",716,"Mainesburg","16932",5,0,0,NA,NA,NA
"389",717,"Mansfield","16933",47,-1,-1,NA,NA,NA
"390",718,"Middlebury Center","16935",7,0,0,NA,NA,NA
"391",719,"Millerton","16936",11,-1,0,NA,NA,NA
"392",720,"Mills","16937",-1,0,0,NA,NA,NA
"393",721,"Morris","16938",5,0,0,NA,NA,NA
"394",722,"Morris Run","16939",0,0,0,NA,NA,NA
"395",723,"Nelson","16940",-1,0,0,NA,NA,NA
"396",724,"Genesee","16941",-1,0,0,NA,NA,NA
"397",725,"Osceola","16942",7,0,0,NA,NA,NA
"398",726,"Sabinsville","16943",-1,0,0,NA,NA,NA
"399",727,"Tioga","16946",18,-1,0,NA,NA,NA
"400",728,"Troy","16947",42,-1,0,NA,NA,NA
"401",729,"Ulysses","16948",12,0,0,NA,NA,NA
"402",730,"Westfield","16950",27,0,0,NA,NA,NA
"403",731,"Allensville","17002",6,0,0,NA,NA,NA
"404",732,"Annville","17003",140,22,-1,NA,NA,NA
"405",733,"Belleville","17004",20,-1,0,NA,NA,NA
"406",734,"Berrysburg","17005",-1,-1,0,NA,NA,NA
"407",735,"Blain","17006",-1,0,0,NA,NA,NA
"408",736,"Boiling Springs","17007",22,-1,0,NA,NA,NA
"409",737,"Burnham","17009",24,-1,0,NA,NA,NA
"410",738,"Camp Hill","17011",268,100,0,NA,NA,NA
"411",739,"Carlisle","17013",248,42,0,NA,NA,NA
"412",740,"Cocolamus","17014",-1,0,0,NA,NA,NA
"413",741,"Carlisle","17015",136,17,-1,NA,NA,NA
"414",742,"Dalmatia","17017",22,-1,-1,NA,NA,NA
"415",743,"Dauphin","17018",33,5,0,NA,NA,NA
"416",744,"Dillsburg","17019",123,13,0,NA,NA,NA
"417",745,"Duncannon","17020",71,-1,0,NA,NA,NA
"418",746,"East Waterford","17021",6,-1,0,NA,NA,NA
"419",747,"Elizabethtown","17022",419,37,0,NA,NA,NA
"420",748,"Elizabethville","17023",36,10,0,NA,NA,NA
"421",749,"Elliottsburg","17024",10,-1,-1,NA,NA,NA
"422",750,"Enola","17025",140,14,-1,NA,NA,NA
"423",751,"Fredericksburg","17026",49,13,-1,NA,NA,NA
"424",752,"Grantville","17028",45,-1,0,NA,NA,NA
"425",753,"Granville","17029",5,0,0,NA,NA,NA
"426",754,"Gratz","17030",11,0,0,NA,NA,NA
"427",755,"Halifax","17032",61,-1,0,NA,NA,NA
"428",756,"Hershey","17033",229,44,-1,NA,NA,NA
"429",757,"Highspire","17034",25,-1,0,NA,NA,NA
"430",758,"Honey Grove","17035",8,-1,-1,NA,NA,NA
"431",759,"Hummelstown","17036",337,37,-1,NA,NA,NA
"432",760,"Ickesburg","17037",11,-1,0,NA,NA,NA
"433",761,"Jonestown","17038",116,22,0,NA,NA,NA
"434",762,"Landisburg","17040",22,-1,0,NA,NA,NA
"435",763,"Lebanon","17042",922,242,-1,NA,NA,NA
"436",764,"Lemoyne","17043",72,5,0,NA,NA,NA
"437",765,"Lewistown","17044",200,25,0,NA,NA,NA
"438",766,"Liverpool","17045",22,5,0,NA,NA,NA
"439",767,"Lebanon","17046",894,329,8,NA,NA,NA
"440",768,"Loysville","17047",15,-1,0,NA,NA,NA
"441",769,"Lykens","17048",42,5,0,NA,NA,NA
"442",770,"Mc Alisterville","17049",32,6,0,NA,NA,NA
"443",771,"Mechanicsburg","17050",244,47,-1,NA,NA,NA
"444",772,"Mc Veytown","17051",30,-1,-1,NA,NA,NA
"445",773,"Mapleton Depot","17052",11,-1,0,NA,NA,NA
"446",774,"Marysville","17053",40,-1,0,NA,NA,NA
"447",775,"Mechanicsburg","17055",287,38,0,NA,NA,NA
"448",776,"Middletown","17057",222,31,0,NA,NA,NA
"449",777,"Mifflin","17058",16,19,0,NA,NA,NA
"450",778,"Mifflintown","17059",73,35,-1,NA,NA,NA
"451",779,"Mill Creek","17060",9,-1,0,NA,NA,NA
"452",780,"Millersburg","17061",57,17,-1,NA,NA,NA
"453",781,"Millerstown","17062",19,-1,-1,NA,NA,NA
"454",782,"Milroy","17063",25,-1,0,NA,NA,NA
"455",783,"Mount Gretna","17064",13,-1,0,NA,NA,NA
"456",784,"Mount Holly Springs","17065",28,-1,0,NA,NA,NA
"457",785,"Mount Union","17066",51,12,-1,NA,NA,NA
"458",786,"Myerstown","17067",233,76,-1,NA,NA,NA
"459",787,"New Bloomfield","17068",22,-1,0,NA,NA,NA
"460",788,"New Cumberland","17070",167,21,-1,NA,NA,NA
"461",789,"New Germantown","17071",0,0,0,NA,NA,NA
"462",790,"Newmanstown","17073",72,15,0,NA,NA,NA
"463",791,"Newport","17074",50,-1,0,NA,NA,NA
"464",792,"Oakland Mills","17076",0,0,0,NA,NA,NA
"465",793,"Palmyra","17078",346,31,8,NA,NA,NA
"466",794,"Pillow","17080",-1,-1,0,NA,NA,NA
"467",795,"Port Royal","17082",22,17,-1,NA,NA,NA
"468",796,"Reedsville","17084",28,-1,0,NA,NA,NA
"469",797,"Richfield","17086",14,-1,0,NA,NA,NA
"470",798,"Richland","17087",26,-1,0,NA,NA,NA
"471",799,"Shermans Dale","17090",35,-1,0,NA,NA,NA
"472",800,"Thompsontown","17094",12,5,0,NA,NA,NA
"473",801,"Wiconisco","17097",7,0,0,NA,NA,NA
"474",802,"Williamstown","17098",34,-1,0,NA,NA,NA
"475",803,"Yeagertown","17099",12,0,0,NA,NA,NA
"476",804,"Harrisburg","17101",71,14,-1,NA,NA,NA
"477",805,"Harrisburg","17102",65,27,0,NA,NA,NA
"478",806,"Harrisburg","17103",103,35,0,NA,NA,NA
"479",807,"Harrisburg","17104",152,81,-1,NA,NA,NA
"480",808,"Harrisburg","17109",213,71,-1,NA,NA,NA
"481",809,"Harrisburg","17110",255,79,-1,NA,NA,NA
"482",810,"Harrisburg","17111",338,186,-1,NA,NA,NA
"483",811,"Harrisburg","17112",301,34,-1,NA,NA,NA
"484",812,"Harrisburg","17113",121,17,-1,NA,NA,NA
"485",813,"Harrisburg","17120",0,0,0,NA,NA,NA
"486",814,"Chambersburg","17201",363,211,-1,NA,NA,NA
"487",815,"Chambersburg","17202",254,61,-1,NA,NA,NA
"488",816,"Artemas","17211",6,-1,0,NA,NA,NA
"489",817,"Big Cove Tannery","17212",11,0,0,NA,NA,NA
"490",818,"Blairs Mills","17213",-1,-1,0,NA,NA,NA
"491",819,"Blue Ridge Summit","17214",19,0,0,NA,NA,NA
"492",820,"Burnt Cabins","17215",0,0,0,NA,NA,NA
"493",821,"Concord","17217",-1,-1,0,NA,NA,NA
"494",822,"Doylesburg","17219",-1,0,0,NA,NA,NA
"495",823,"Dry Run","17220",-1,0,0,NA,NA,NA
"496",824,"Fannettsburg","17221",7,-1,0,NA,NA,NA
"497",825,"Fayetteville","17222",126,40,0,NA,NA,NA
"498",826,"Fort Littleton","17223",-1,0,0,NA,NA,NA
"499",827,"Fort Loudon","17224",13,5,0,NA,NA,NA
"500",828,"Greencastle","17225",181,18,0,NA,NA,NA
"501",829,"Harrisonville","17228",-1,0,0,NA,NA,NA
"502",830,"Hustontown","17229",7,0,0,NA,NA,NA
"503",831,"Lurgan","17232",-1,0,0,NA,NA,NA
"504",832,"Mc Connellsburg","17233",45,-1,-1,NA,NA,NA
"505",833,"Mercersburg","17236",58,13,-1,NA,NA,NA
"506",834,"Mont Alto","17237",13,10,0,NA,NA,NA
"507",835,"Needmore","17238",15,0,0,NA,NA,NA
"508",836,"Neelyton","17239",0,0,0,NA,NA,NA
"509",837,"Newburg","17240",13,-1,0,NA,NA,NA
"510",838,"Newville","17241",113,10,-1,NA,NA,NA
