"","zip","cases","deaths","lat","long"
"306","88240",12,0,32.7037078,-103.4851123
"307","88242",0,0,32.813416,-103.1622578
"308","88250",0,0,32.7018881,-104.9604132
"309","88252",0,0,32.1551185,-103.377932
"310","88253",0,0,32.9346475,-104.6263682
"311","88254",0,0,32.612744,-104.4502469
"312","88255",0,0,32.8142013,-103.996448
"313","88256",0,0,32.1980655,-103.9080388
"314","88260",2,0,32.9919054,-103.3818827
"315","88262",0,0,33.1171396,-103.421158
"316","88263",0,0,32.0978813,-104.081618
"317","88264",0,0,32.8909124,-103.711709
"318","88265",0,0,32.6204544,-103.3028708
"319","88267",0,0,33.337444,-103.4252186
"320","88268",0,0,32.176318,-104.3796667
"321","88301",0,0,33.7840128,-105.7857202
"322","88310",5,0,32.6400692,-106.0752107
"323","88311",0,0,32.8079791,-105.9875454
"324","88312",0,0,33.4376463,-105.6725984
"325","88314",0,0,33.1101241,-105.8669683
"326","88316",0,0,33.7976563,-105.3228926
"327","88317",0,0,32.9237728,-105.6369868
"328","88318",0,0,34.2071022,-105.3969383
"329","88321",0,0,34.7613074,-105.4583299
"330","88323",0,0,33.4947042,-105.5275451
"331","88324",0,0,33.3898121,-105.4390568
"332","88325",0,0,32.8566053,-105.8583755
"333","88330",0,0,32.8366126,-106.0773835
"334","88336",0,0,33.3283051,-105.2800026
"335","88337",1,0,32.996694,-105.8846985
"336","88338",0,0,33.4895248,-105.3945196
"337","88339",0,0,32.9418755,-105.2606204
"338","88340",0,0,33.1761347,-105.5832417
"339","88341",0,0,33.4261755,-105.856659
"340","88342",0,0,32.3885786,-106.111844
"341","88343",0,0,33.2259212,-105.07718
"342","88344",0,0,32.5586941,-105.2923234
"343","88345",0,0,33.3472261,-105.6802837
"344","88346",1,0,33.3538073,-105.5400524
"345","88347",0,0,32.7561846,-105.657681
"346","88348",0,0,33.396166,-105.3583911
"347","88349",0,0,32.7792766,-105.8022581
"348","88350",0,0,32.6433906,-105.6770138
"349","88351",0,0,33.5494223,-105.0877149
