"","OBJECTID","POSTCODE","ConfirmedCaseCategory","ConfirmedCaseCount","Shape__Area","Shape__Length"
"77",77,"85122","Greater Than 40","107",177988310.027344,91043.8508559089
"78",78,"85141","1-5","1-5",156747273.648438,72302.9377239516
"79",79,"85123","11-25","20",26619163.828125,26608.1988833719
"80",80,"85191","1-5","1-5",2170958.28515625,8743.23530982092
"81",81,"85354","11-25","13",3943307686.03516,372759.129024145
"82",82,"85332","0","0",2750282598.41406,270909.147119694
"83",83,"85390","1-5","1-5",2638581747.58594,329301.404281128
"84",84,"85326","Greater Than 40","107",1652786555.83203,356400.460931267
"85",85,"85342","1-5","1-5",1614957399.19141,362673.019419872
"86",86,"86332","0","0",1589917126.45703,249158.841839073
"87",87,"85320","1-5","1-5",1066954185.80469,148252.774826961
"88",88,"85361","11-25","15",745303239.359375,236179.472051414
"89",89,"85396","11-25","20",732577796.3125,208598.302027007
"90",90,"85322","0","0",698802800.894531,223749.734701155
"91",91,"85387","11-25","16",337270335.121094,185054.537770495
"92",92,"85362","0","0",282659395.1875,69530.8033893688
"93",93,"85355","6-10","6-10",222653424.828125,99002.9732118907
"94",94,"85340","26-40","30",90379435.0429688,103056.712175406
"95",95,"85388","11-25","24",74168890.2773438,46012.6176033884
"96",96,"85395","26-40","37",72077618.734375,40644.9649510254
"97",97,"85374","26-40","33",54524296.1132813,51759.5987437634
"98",98,"85343","0","0",10183866.5273438,15223.4764852391
"99",99,"85357","0","0",2274903.625,11508.7490616691
"100",100,"85338","Greater Than 40","71",634253770.507813,361142.303624573
"101",101,"85121","Data Suppressed","Data Suppressed",603379150.328125,181544.472135709
"102",102,"85339","Greater Than 40","93",598855490.660156,173510.906677594
"103",103,"85255","Greater Than 40","50",294939985.589844,120707.953857391
"104",104,"85256","Data Suppressed","Data Suppressed",268398120.496094,142696.611510179
"105",105,"85226","26-40","26",181420594.777344,68388.8687244959
"106",106,"85259","11-25","14",84638201.4375,55929.5475999593
"107",107,"85249","Greater Than 40","49",83290074.8125,56699.4029777755
"108",108,"85353","Greater Than 40","121",79257135.5429688,52711.548164501
"109",109,"85042","Greater Than 40","70",78616018.5976563,48995.754392305
"110",110,"85043","Greater Than 40","78",77987626.2890625,50435.6716023665
"111",111,"85253","Greater Than 40","46",67313578.3398438,48050.3678994201
"112",112,"85045","11-25","11",66763770.015625,73875.7167095314
"113",113,"85308","Greater Than 40","63",63130502.3242188,68749.4431983249
"114",114,"85050","26-40","32",62124540.046875,48021.1526047546
"115",115,"85024","11-25","14",61710597.2578125,60520.5123698438
"116",116,"85041","Greater Than 40","102",59241376.4453125,51937.199354653
"117",117,"85323","Greater Than 40","90",58961494.1484375,92319.2889169646
"118",118,"85286","Greater Than 40","42",57814152.2578125,47236.4873385438
"119",119,"85260","26-40","39",56717600.6484375,36819.0791850701
"120",120,"85009","Greater Than 40","98",55691143.8554688,40725.8913872597
"121",121,"85248","Greater Than 40","55",52856974.3125,39551.143466347
"122",122,"85345","Greater Than 40","128",50848755.7460938,49458.9706566861
"123",123,"85254","Greater Than 40","42",50283270.1132813,34356.3644030474
"124",124,"85281","Greater Than 40","85",48657723.9375,62745.1174135431
"125",125,"85375","Greater Than 40","58",48504730.7695313,36360.1160015351
"126",126,"85225","Greater Than 40","106",47674668.3515625,36922.3036386812
"127",127,"85032","Greater Than 40","94",46163913.8710938,35447.8878882467
"128",128,"85379","Greater Than 40","51",43550212.2617188,27179.5123741535
"129",129,"85034","26-40","33",43183826.9492188,46902.8751007088
"130",130,"85282","Greater Than 40","53",41715261.0585938,36252.3529454898
"131",131,"85022","Greater Than 40","64",40996389.8085938,37757.752560519
"132",132,"85351","Greater Than 40","54",40657376.9023438,31599.6013672964
"133",133,"85028","11-25","22",39903683.4414063,32015.965943403
"134",134,"85027","26-40","38",39850831.9960938,37827.5339855401
"135",135,"85204","Greater Than 40","81",37876783.2382813,31332.8918962024
"136",136,"85373","11-25","13",38035122.9179688,59518.6634502464
"137",137,"85008","Greater Than 40","187",37631562.578125,34087.0768560683
"138",138,"85392","Greater Than 40","73",37517457.6679688,43775.935599761
"139",139,"85083","11-25","16",37601393.5664063,34614.1761002561
"140",140,"85018","26-40","38",37150404.59375,37354.9072442
"141",141,"85233","Greater Than 40","45",36944035.0039063,32412.8352853137
"142",142,"85040","Greater Than 40","43",36936454.7890625,35161.9917796526
"143",143,"85382","Greater Than 40","136",36985421.0625,55828.2095057752
"144",144,"85335","Greater Than 40","70",36834904.5703125,32414.4035076804
"145",145,"85016","Greater Than 40","75",35703746.7148438,37256.789487042
"146",146,"85258","11-25","21",35557104.1875,32345.5494592515
"147",147,"85044","Greater Than 40","41",35051968.0546875,35574.4908644889
"148",148,"85224","Greater Than 40","183",34343909.6445313,27652.0634501361
"149",149,"85301","Greater Than 40","191",34175698.7773438,29331.48330963
"150",150,"85201","26-40","40",33925915.3554688,31416.1430465255
"151",151,"85310","11-25","19",33333481.7773438,32818.6778889516
"152",152,"85307","11-25","13",33112288.484375,45594.0055564229
"153",153,"85048","Greater Than 40","51",32161114.0664063,42179.7226123852
"154",154,"85283","Greater Than 40","71",31772831.1953125,34409.7849352499
"155",155,"85020","26-40","39",31460399.6992188,34266.6544881463
"156",156,"85037","Greater Than 40","147",29928682.109375,33937.1694817611
"157",157,"85284","11-25","12",29787348.3476563,36678.9276781249
